Ingredient,Price,Quantity,Unit Price,Unit,Url
Selection Canola Oil,4.99,per pack,1.05,100ml,https://www.instacart.ca/store/metro/products/27267968
Terra Delyssa Premium Extra Virgin Olive Oil,19.99,per pack,2.0,100ml,https://www.instacart.ca/store/metro/products/17877530
Selection Balsamic Vinegar,3.29,per pack,0.66,100ml,https://www.instacart.ca/store/metro/products/27268748
Selection White Wine Vinegar,2.69,per pack,0.54,100ml,https://www.instacart.ca/store/metro/products/27297046
Irresistibles Rice Vinegar,3.99,per pack,null,null,https://www.instacart.ca/store/metro/products/27351155
French's Tomato Ketchup,4.69,per pack,0.47,100ml,https://www.instacart.ca/store/metro/products/17876337
Hellmann's Real Mayo,6.99,per pack,0.79,100ml,https://www.instacart.ca/store/metro/products/17819200
French's Mustard Squeeze,679.0,per pack,null,null,https://www.instacart.ca/store/metro/products/17883972
Selection Soya Sauce,2.49,per pack,0.55,100ml,https://www.instacart.ca/store/metro/products/27268365
Thai Kitchen Spicy Thai Chili Sauce,6.79,per pack,3.4,100ml,https://www.instacart.ca/store/metro/products/19483055
Firebarns Sriracha Hot Sauce,7.49,per pack,1.5,100ml,https://www.instacart.ca/store/metro/products/27345357
Club House Organic Cayenne Pepper,2.99,per pack,9.06,100g,https://www.instacart.ca/store/metro/products/17818015
Club House Organic Ground Cumin,2.99,per pack,7.48,100g,https://www.instacart.ca/store/metro/products/17886592
Club House Organic Ground Coriander Powder,2.99,per pack,10.68,100g,https://www.instacart.ca/store/metro/products/17886621
Club House Family Size Oregano Leaves,5.99,per pack,18.15,100g,https://www.instacart.ca/store/metro/products/17886276
Club House Organic Paprika,2.99,per pack,7.48,100g,https://www.instacart.ca/store/metro/products/17877645
Club House Organic Rosemary Leaves,2.99,per pack,21.36,100g,https://www.instacart.ca/store/metro/products/17879120
Club House Organic Thyme Leaves,2.99,per pack,14.95,100g,https://www.instacart.ca/store/metro/products/17881315
McCormick® Gourmet Organic Ground Saigon Cinnamon,6.99,per pack,25.89,100g,https://www.instacart.ca/store/metro/products/25701094
Selection Cinnamon Stick Spice Bag,2.99,per pack,4.98,100g,https://www.instacart.ca/store/metro/products/27268686
Irresistibles Ground Jamaican Allspice in Glass Bottle,4.99,per pack,9.07,100g,https://www.instacart.ca/store/metro/products/27266577
Club House Organic Ground Ginger,2.99,per pack,11.5,100g,https://www.instacart.ca/store/metro/products/17971429
McCormick® Gourmet Organic Ground Nutmeg,6.99,per pack,17.05,100g,https://www.instacart.ca/store/metro/products/25701408
Irresistibles Chili Powder,4.99,per pack,7.34,100g,https://www.instacart.ca/store/metro/products/27268114
Club House Organic Curry Powder,2.99,per pack,7.48,100g,https://www.instacart.ca/store/metro/products/19029973
McCormick Canada Club House Artificial Vanilla Extract,2.99,per pack,6.95,100ml,https://www.instacart.ca/store/metro/products/17971612
Bush's Best Original Baked Beans,2.99,per pack,0.75,100ml,https://www.instacart.ca/store/metro/products/17000862
Selection Chick Pea Legume,1.99,per pack,0.37,100ml,https://www.instacart.ca/store/metro/products/27266241
Selection Stuffed Manzanilla Olives,5.99,per pack,null,null,https://www.instacart.ca/store/metro/products/27267191
PB&Me Sugar Free Powdered Peanut Butter,6.49,per pack,3.24,100g,https://www.instacart.ca/store/metro/products/18554881
Selection Diced Tomatoes,2.19,per pack,0.28,100ml,https://www.instacart.ca/store/metro/products/27268048
Selection Tomato Paste,1.19,per pack,0.76,100ml,https://www.instacart.ca/store/metro/products/27268664
Que Pasa Organic Medium Salsa,3.99,per pack,0.95,100ml,https://www.instacart.ca/store/metro/products/20170448
Selection Water Chunk Light Tuna,7.99,per pack,4.7,100g,https://www.instacart.ca/store/metro/products/27343401
Life Smart Medium Couscous,2.29,per pack,0.51,100g,https://www.instacart.ca/store/metro/products/27352991
Barilla Rotini Pasta,3.49,per pack,0.85,100g,https://www.instacart.ca/store/metro/products/25578749
Tilda Basmati Rice Bag,13.99,per pack,0.77,100g,https://www.instacart.ca/store/metro/products/285396
Bob's Red Mill Baking Powder Gluten Free,6.99,per pack,1.76,100g,https://www.instacart.ca/store/metro/products/19823948
Bob's Red Mill Baking Soda Gluten Free,4.99,per pack,1.1,100g,https://www.instacart.ca/store/metro/products/19404929
Redpath Dark Brown Sugar,2.99,per pack,0.3,100g,https://www.instacart.ca/store/metro/products/19127046
Selection Corn Starch,2.99,per pack,0.75,100g,https://www.instacart.ca/store/metro/products/27267332
Bob's Red Mill Bob's Gluten Free All-Purpose Flour,7.29,per pack,1.17,100g,https://www.instacart.ca/store/metro/products/19403799
Redpath Granulated Sugar,2.99,per pack,0.15,100g,https://www.instacart.ca/store/metro/products/19130017
Irresistibles Organic Pure Honey,9.99,per pack,2.66,100g,https://www.instacart.ca/store/metro/products/27268125
Selection Salted Butter,6.49,per pack,1.43,100g,https://www.instacart.ca/store/metro/products/27266134
Cracker Barrel Sliced Cheddar Cheese,7.49,per pack,3.75,100g,https://www.instacart.ca/store/metro/products/21482382
Tre Stelle Traditional Feta Cheese,6.79,per pack,3.4,100g,https://www.instacart.ca/store/metro/products/19070832
Irresistibles Parmesan Shredded Cheese,7.79,per pack,3.45,100g,https://www.instacart.ca/store/metro/products/27247360
Selection Mozzarella Slices,5.49,per pack,2.39,100g,https://www.instacart.ca/store/metro/products/27266103
Selection Large Grade A Eggs,3.99,per pack,0.33,each,https://www.instacart.ca/store/metro/products/20509880
Lactantia 2% PurFiltre Milk,2.99,per pack,0.3,100ml,https://www.instacart.ca/store/metro/products/19127145
Irresistibles 0% Plain Greek Yogurt,5.89,per pack,null,null,https://www.instacart.ca/store/metro/products/28656208
Berry Lovers Blackberries,4.99,per pack,null,null,https://www.instacart.ca/store/metro/products/3310008
Irresistibles Frozen Cultivated Blueberries,5.99,per pack,1.0,100g,https://www.instacart.ca/store/metro/products/28427832
Organic Peaches,6.99,per pack,0.35,100ml,https://www.instacart.ca/store/metro/products/25834831
Irresistibles Frozen Sliced Strawberries Fruit,5.99,per pack,1.0,100g,https://www.instacart.ca/store/metro/products/27268060
Organic Broccoli,4.99,per pack,null,null,https://www.instacart.ca/store/metro/products/16345572
Selection Whole Grain Fancy Corn Vegetables Can,1.67,per pack,0.49,100ml,https://www.instacart.ca/store/metro/products/28338310
Selection Assorted Sizes Peas Can,1.67,per pack,0.42,100ml,https://www.instacart.ca/store/metro/products/27266436
Selection Frozen Chopped Spinach Vegetable,4.49,per pack,0.9,100g,https://www.instacart.ca/store/metro/products/27266603
Garlic Package,4.99,per pack,null,null,https://www.instacart.ca/store/metro/products/16502229
International Fresh Produce Yellow Onions,2.99,per pack,0.09,oz,https://www.instacart.ca/store/metro/products/17090399
The Little Potato Company Baby Boomer Gold Potatoes,4.99,per pack,0.21,oz,https://www.instacart.ca/store/metro/products/23446522
Selection Seedless Sultana Raisin,3.29,per pack,0.88,100g,https://www.instacart.ca/store/metro/products/27267518
Selection Dried Apple,5.0,per pack,3.33,100g,https://www.instacart.ca/store/metro/products/27381918
Irresistibles Dried Apricots,9.99,per pack,2.5,100g,https://www.instacart.ca/store/metro/products/27265840
Irresistibles Whole Natural Almonds,5.99,per pack,2.4,100g,https://www.instacart.ca/store/metro/products/27265849
Selection Dry Roasted Seasoned Peanuts,5.99,per pack,0.86,100g,https://www.instacart.ca/store/metro/products/27246130
Irresistibles Roasted & Salted Sunflower Seeds,3.99,per pack,1.33,100g,https://www.instacart.ca/store/metro/products/27266993
Life Smart Naturalia Boneless Grain-Fed Chicken Breast,22.02,kg,null,null,https://www.instacart.ca/store/metro/products/27339725
Windsor Fine Sea Salt,2.99,per pack,0.6,100g,https://www.instacart.ca/store/metro/products/17876486
Selection Ground Black Pepper Spice Bag,4.99,per pack,4.75,100g,https://www.instacart.ca/store/metro/products/27266533
Selection Frozen Chinese Pork Fondue,5.0,per pack,1.43,100g,https://www.instacart.ca/store/metro/products/27344572
Extra Lean Ground Beef,18.72,kg,null,null,https://www.instacart.ca/store/metro/products/27267412
Orange,1.67,each,null,null,https://www.instacart.ca/store/metro/products/3255401
Selection Cooked Turkey Breast,12.49,per pack,3.12,100g,https://www.instacart.ca/store/metro/products/27385928
Selection Regular Naturally Smoked Bacon,6.99,per pack,1.86,100g,https://www.instacart.ca/store/metro/products/27267962
Pam Coconut Oil,5.79,per pack,5.12,100g,https://www.instacart.ca/store/metro/products/17884724
Selection Sliced Mushrooms,1.99,per pack,0.7,100ml,https://www.instacart.ca/store/metro/products/27266642
Selection Sliced Pickled Beets,3.99,per pack,0.53,100ml,https://www.instacart.ca/store/metro/products/27267532
McCormick® Gourmet Organic Fennel Seed,5.49,per pack,22.88,100g,https://www.instacart.ca/store/metro/products/25750239
New Zealand Lean Ground Lamb,14.99,per pack,3.3,100g,https://www.instacart.ca/store/metro/products/28447864
Irresistibles 31-40 Count Frozen Deveined Uncooked Easy Peel Pacific White Shrimp,9.0,per pack,2.65,100g,https://www.instacart.ca/store/metro/products/27342300
Carbonaut White Bread,6.99,per pack,1.28,100g,https://www.instacart.ca/store/metro/products/24974715
Front Street Bakery Authentic Italian Calabrese Baguette Bread,3.0,per pack,0.92,100g,https://www.instacart.ca/store/metro/products/27270295
Silver Hills Bakery The Big 16 Whole Grain Bread,4.99,per pack,0.81,100g,https://www.instacart.ca/store/metro/products/243409
Premiere Moisson Organic Integral Sourdough Bread,7.99,per pack,1.28,100g,https://www.instacart.ca/store/metro/products/26410678
Santosh Naan Plain,4.79,per pack,0.96,100g,https://www.instacart.ca/store/metro/products/24810471
Pam Non GMO Avocado Oil,6.99,per pack,4.96,100g,https://www.instacart.ca/store/metro/products/26965176
Selection Pure Sesame Oil,4.29,per pack,2.32,100ml,https://www.instacart.ca/store/metro/products/27268656
Selection Sunflower Oil,6.79,per pack,0.72,100ml,https://www.instacart.ca/store/metro/products/27268571
Selection Cider Vinegar,2.99,per pack,0.3,100ml,https://www.instacart.ca/store/metro/products/27267090
Selection Prepared Yellow Mustard,2.49,per pack,0.45,100ml,https://www.instacart.ca/store/metro/products/28428538
